START,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,END
{,DDD,3D Systems Corporation,8.71,$1.02B,n/a,Technology,Computer Software: Prepackaged Software,}
{,MMM,3M Company,175.86,$101.37B,n/a,Health Care,Medical/Dental Instruments,}
{,WBAI,500.com Limited,11.07,$470.7M,2013,Consumer Services,Services-Misc. Amusement & Recreation,}
{,WUBA,58.com Inc.,65.57,$9.72B,2013,Technology,"Computer Software: Programming, Data Processing",}
{,EGHT,8x8 Inc,24,$2.3B,n/a,Technology,EDP Services,}
{,AHC,A.H. Belo Corporation,3.98,$85.62M,n/a,Consumer Services,Newspapers/Magazines,}
{,AOS,A.O Smith Corporation,50.22,$8.4B,n/a,Consumer Durables,Consumer Electronics/Appliances,}
{,ATEN,"A10 Networks, Inc.",6.39,$483.31M,2014,Technology,Computer Communications Equipment,}
{,AAC,"AAC Holdings, Inc.",1.73,$43.77M,2014,Health Care,Medical Specialities,}
{,AIR,AAR Corp.,33.78,$1.18B,n/a,Capital Goods,Aerospace,}
{,AAN,"Aaron&#39;s,  Inc.",56.34,$3.81B,n/a,Technology,Diversified Commercial Services,}
{,ABB,ABB Ltd,19.21,$40.95B,n/a,Consumer Durables,Electrical Products,}
{,ABT,Abbott Laboratories,76.45,$134.87B,n/a,Health Care,Major Pharmaceuticals,}
{,ABBV,AbbVie Inc.,77.45,$114.5B,2012,Health Care,Major Pharmaceuticals,}
{,ANF,Abercrombie & Fitch Company,27.58,$1.84B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,}
{,AGD,Aberdeen Global Dynamic Dividend Fund,9.38,$117.72M,2006,n/a,n/a,}
{,AWP,Aberdeen Global Premier Properties Fund,5.91,$504.76M,2007,n/a,n/a,}
{,ACP,Aberdeen Income Credit Strategies Fund,12.67,$165.65M,2011,n/a,n/a,}
{,JEQ,"Aberdeen Japan Equity Fund, Inc. ",6.96,$93.19M,1992,n/a,n/a,}
{,AOD,Aberdeen Total Dynamic Dividend Fund,8.26,$880.44M,2007,n/a,n/a,}
{,ABM,ABM Industries Incorporated,38.32,$2.54B,n/a,Finance,Diversified Commercial Services,}
{,AKR,Acadia Realty Trust,28.55,$2.36B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,ACN,Accenture plc,174.3,$111.17B,2001,Miscellaneous,Business Services,}
{,ACCO,Acco Brands Corporation,8.38,$855.51M,n/a,Consumer Durables,Publishing,}
{,ATV,"Acorn International, Inc.",27.9021,$72.01M,2007,Consumer Services,Other Specialty Stores,}
{,ATU,Actuant Corporation,24.51,$1.51B,n/a,Technology,Industrial Machinery/Components,}
{,AYI,"Acuity Brands, Inc. ",143.55,$5.73B,n/a,Consumer Durables,Building Products,}
{,GOLF,Acushnet Holdings Corp.,24.99,$1.89B,2016,Consumer Non-Durables,Recreational Products/Toys,}
{,ADX,"Adams Diversified Equity Fund, Inc.",15.03,$1.6B,n/a,n/a,n/a,}
{,PEO,"Adams Natural Resources Fund, Inc.",16.42,$484.6M,n/a,n/a,n/a,}
{,AGRO,Adecoagro S.A.,6.82,$794.91M,2011,Consumer Non-Durables,Farming/Seeds/Milling,}
