START,Symbol,,Name,,LastSale,END,
{ s: ,DDD,| n: ,3D Systems Corporation,| v: ,8.71,},
{ s: ,MMM,| n: ,3M Company,| v: ,175.86,},
{ s: ,WBAI,| n: ,500.com Limited,| v: ,11.07,},
{ s: ,WUBA,| n: ,58.com Inc.,| v: ,65.57,},
{ s: ,EGHT,| n: ,8x8 Inc,| v: ,24,},
{ s: ,AHC,| n: ,A.H. Belo Corporation,| v: ,3.98,},
{ s: ,AOS,| n: ,A.O Smith Corporation,| v: ,50.22,},
{ s: ,ATEN,| n: ,A10 Networks Inc.,| v: ,6.39,},
{ s: ,AAC,| n: ,AAC Holdings Inc.,| v: ,1.73,},
{ s: ,AIR,| n: ,AAR Corp.,| v: ,33.78,},
{ s: ,AAN,| n: ,Aaron&#39;s Inc.,| v: ,56.34,},
{ s: ,ABB,| n: ,ABB Ltd,| v: ,19.21,},
{ s: ,ABT,| n: ,Abbott Laboratories,| v: ,76.45,},
{ s: ,ABBV,| n: ,AbbVie Inc.,| v: ,77.45,},
{ s: ,ANF,| n: ,Abercrombie & Fitch Company,| v: ,27.58,},
{ s: ,AGD,| n: ,Aberdeen Global Dynamic Dividend Fund,| v: ,9.38,},
{ s: ,AWP,| n: ,Aberdeen Global Premier Properties Fund,| v: ,5.91,},
{ s: ,ACP,| n: ,Aberdeen Income Credit Strategies Fund,| v: ,12.67,},
{ s: ,JEQ,| n: ,Aberdeen Japan Equity Fund Inc. ,| v: ,6.96,},
{ s: ,AOD,| n: ,Aberdeen Total Dynamic Dividend Fund,| v: ,8.26,},
{ s: ,ABM,| n: ,ABM Industries Incorporated,| v: ,38.32,},
{ s: ,AKR,| n: ,Acadia Realty Trust,| v: ,28.55,},
{ s: ,ACN,| n: ,Accenture plc,| v: ,174.3,},
{ s: ,ACCO,| n: ,Acco Brands Corporation,| v: ,8.38,},
{ s: ,ATV,| n: ,Acorn International Inc.,| v: ,27.9021,},
{ s: ,ATU,| n: ,Actuant Corporation,| v: ,24.51,},
{ s: ,AYI,| n: ,Acuity Brands Inc. ,| v: ,143.55,},
{ s: ,GOLF,| n: ,Acushnet Holdings Corp.,| v: ,24.99,},
{ s: ,ADX,| n: ,Adams Diversified Equity Fund Inc.,| v: ,15.03,},
{ s: ,PEO,| n: ,Adams Natural Resources Fund Inc.,| v: ,16.42,},
{ s: ,AGRO,| n: ,Adecoagro S.A.,| v: ,6.82,},
{ s: ,ADNT,| n: ,Adient plc,| v: ,21.44,},
{ s: ,ADT,| n: ,ADT Inc.,| v: ,6.37,},
{ s: ,ATGE,| n: ,Adtalem Global Education Inc.,| v: ,45.46,},
{ s: ,AAP,| n: ,Advance Auto Parts Inc,| v: ,158.12,},
{ s: ,ADSW,| n: ,Advanced Disposal Services Inc.,| v: ,32.37,},
{ s: ,WMS,| n: ,Advanced Drainage Systems Inc.,| v: ,27.82,},
{ s: ,ASIX,| n: ,AdvanSix Inc.,| v: ,29.12,},
{ s: ,AVK,| n: ,Advent Claymore Convertible Securities and Income Fund,| v: ,14.94,},
{ s: ,ACM,| n: ,AECOM,| v: ,33.74,},
{ s: ,AEB,| n: ,Aegon NV,| v: ,22.973,},
{ s: ,AED.CL,| n: ,Aegon NV,| v: ,n/a,},
{ s: ,AEG,| n: ,Aegon NV,| v: ,4.88,},
{ s: ,AEH,| n: ,Aegon NV,| v: ,25.72,},
{ s: ,AER,| n: ,Aercap Holdings N.V.,| v: ,50.81,},
{ s: ,HIVE,| n: ,Aerohive Networks Inc.,| v: ,3.58,},
{ s: ,AJRD,| n: ,Aerojet Rocketdyne Holdings Inc. ,| v: ,38.29,},
{ s: ,AMG,| n: ,Affiliated Managers Group Inc.,| v: ,94.39,},
{ s: ,MGR,| n: ,Affiliated Managers Group Inc.,| v: ,25.1762,},
{ s: ,AFL,| n: ,Aflac Incorporated,| v: ,51.27,},
{ s: ,MITT,| n: ,AG Mortgage Investment Trust Inc.,| v: ,16.62,},
{ s: ,MITT^A,| n: ,AG Mortgage Investment Trust Inc.,| v: ,25.57,},
{ s: ,MITT^B,| n: ,AG Mortgage Investment Trust Inc.,| v: ,25.64,},
{ s: ,AGCO,| n: ,AGCO Corporation,| v: ,73.32,},
{ s: ,A,| n: ,Agilent Technologies Inc.,| v: ,77.1,},
{ s: ,AEM,| n: ,Agnico Eagle Mines Limited,| v: ,40.4,},
{ s: ,ADC,| n: ,Agree Realty Corporation,| v: ,66.77,},
{ s: ,AL,| n: ,Air Lease Corporation,| v: ,38.9,},
{ s: ,AL^A,| n: ,Air Lease Corporation,| v: ,26.1,},
{ s: ,APD,| n: ,Air Products and Chemicals Inc.,| v: ,208.29,},
{ s: ,AYR,| n: ,Aircastle Limited,| v: ,19.81,},
{ s: ,AKS,| n: ,AK Steel Holding Corporation,| v: ,2.44,},
{ s: ,ALP^Q,| n: ,Alabama Power Company,| v: ,26.06,},
{ s: ,ALG,| n: ,Alamo Group Inc.,| v: ,104.84,},
{ s: ,AGI,| n: ,Alamos Gold Inc.,| v: ,4.44,},
{ s: ,ALK,| n: ,Alaska Air Group Inc.,| v: ,61.27,},
{ s: ,AIN,| n: ,Albany International Corporation,| v: ,76.34,},
{ s: ,ALB,| n: ,Albemarle Corporation,| v: ,72.63,},
{ s: ,AA,| n: ,Alcoa Corporation,| v: ,25.04,},
{ s: ,ALC,| n: ,Alcon Inc.,| v: ,63.33,},
{ s: ,ALEX,| n: ,Alexander & Baldwin Inc.,| v: ,23.87,},
{ s: ,ALX,| n: ,Alexander&#39;s Inc.,| v: ,382.19,},
{ s: ,ARE,| n: ,Alexandria Real Estate Equities Inc.,| v: ,142.73,},
{ s: ,ARE^D,| n: ,Alexandria Real Estate Equities Inc.,| v: ,37.6325,},
{ s: ,AQN,| n: ,Algonquin Power & Utilities Corp.,| v: ,11.38,},
{ s: ,AQNA,| n: ,Algonquin Power & Utilities Corp.,| v: ,26.59,},
{ s: ,BABA,| n: ,Alibaba Group Holding Limited,| v: ,178,},
{ s: ,Y,| n: ,Alleghany Corporation,| v: ,672.39,},
{ s: ,ATI,| n: ,Allegheny Technologies Incorporated,| v: ,23.86,},
{ s: ,ALLE,| n: ,Allegion plc,| v: ,100.28,},
{ s: ,AGN,| n: ,Allergan plc.,| v: ,140.16,},
